sentence 1,sentence 2,score,predicted score,loss
"A man in a black, white, and red uniform is holding yellow ski poles and racing or preparing to race.",A man prepares for his event in the olympics.,1,0.4419316053390503,1.1947615146636963
"Cheerleader on top of a cheerleading pyramid, girls are looking up at her one is in the background doing the same cheer.",Young women are competing in a cheerleading competition.,2,0.7423239350318909,2.889030694961548
Two girls are sitting on a park bench one is looking at her phone and the other is looking on.,The girl is browsing her phone while another girl watches her.,2,0.5179725289344788,2.3920400142669678
A man is looking affected by results from his poker game.,The man lost the game,1,1.0488604307174683,1.308063268661499
"A woman smiling as she hold two white dishes of food up, there is also a table full of food on the table.",A woman is surrounded by lots of food.,2,1.4788678884506226,0.434248685836792
Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The people are practicing at a wedding recital.,1,1.0192378759384155,0.6965343952178955
A young boy walking in the park dressed in dark clothes and dark cap.,A young boy wandering in the park dressed in dark clothes and dark cap.,2,1.7422959804534912,0.24209553003311157
A snowboarder is grinding down a long concrete rail.,The snowboarder is sitting in a jacuzzi.,0,0.5591934323310852,0.473772794008255
a man walks on the icy sidewalk.,The man almost slipped earlier.,1,0.5514327883720398,1.078472375869751
brown dogs are running down a trail,Brown dogs are running on a trail in the woods.,1,0.7932916879653931,1.0362372398376465
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,0,0.9000558257102966,1.7238166332244873
A woman is smiling at a baby in a stroller in a meadow.,A woman is outdoors.,2,1.8602700233459473,0.1154949963092804
A young woman standing on a tall ladder is changing the display title on the front of an old movie theater.,The young woman works in an ice cream shop.,0,1.0605312585830688,1.438344955444336
"A young child with dark shoulder length hair, in a yellow shirt and pink pants, is walking eating cheerios out of a ziplock bag.",a child sits in a chair,0,0.8427771329879761,0.7459642291069031
What appears to be a taller bald white man sitting next to a shorter black man in a reception area.,The tall bald white man is sitting down.,2,0.7822838425636292,1.0506837368011475
A black dog is running through a snow covered area while holding something green in his mouth.,The dog is retrieving a tennis ball,1,0.9310596585273743,1.021681308746338
Two people standing behind a Sonoma display and a woman with a stroller on the other side.,A woman has her daughter in a stroller.,1,0.9011850357055664,1.4864583015441895
A group of swimmers jump into a pool.,A group of swimmers jump into a pool during a swim meet.,1,0.8465328216552734,0.6824913620948792
A couple is eating outside at a table and he is pointing at something.,People are eating at a table outside.,2,1.6038075685501099,0.3443922996520996
a man with a cap and not wearing shirt is laying a wooden bench.,A man relaxes on a bench,2,0.7188376188278198,1.3253967761993408
"A woman lies on a bed with a red, orange, and blue striped comforter crumpled up next to her.",A woman wakes up.,1,0.7181831002235413,1.1080840826034546
A group of young people with instruments are on stage.,People are performing as a band for a crowd.,1,0.8749825954437256,0.4057457745075226
Girl laying atop floating dock.,A warm towel is on the floor.,0,1.1539220809936523,1.1377754211425781
Man with blue and yellow shirt rides bike.,a man rides a bike for the first time,1,0.928999662399292,0.3254908621311188
A person is out in the water at the beach while the sun sets.,A person is laying on the shore.,0,1.1347547769546509,0.9901368618011475
A child walking towards a bridge waving a flag.,a kid walks to school,0,1.1387752294540405,1.3677089214324951
A lady and a man in a hat watch baseball from the stands.,A woman and her husband are at a baseball game.,1,0.7188408970832825,1.0804184675216675
"A brown dog is laying on his side on a beige carpet, with a green object in the foreground.",A brown dog is laying on the carpet with a green thing next to it.,2,0.7464340925216675,1.795898199081421
"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",The convention of bicyclists are ready for the marathon,1,0.9900088310241699,0.42035195231437683
"Soccer players are playing a night game and the ball is in the air, while the two teams fight for it.",The opposing team is winning the evening soccer match.,1,1.0276639461517334,0.9339489340782166
Man walking in front of Queen and Portland Lofts and Condominiums.,A man is looking for a place to live.,1,0.8005634546279907,0.48636361956596375
Football players on a field in front of a crowd.,There is a crowd watching the football players win,1,0.8667016625404358,0.36015164852142334
Young people in uniform are playing in a rugby game.,People are playing a rugby game.,2,1.619121789932251,0.3105238676071167
A couple of peace corp workers are helping a black kid dig.,The peace corp workers are sitting in a hostel.,0,0.6497292518615723,0.6749226450920105
Several people are waiting in a metro station.,The people are indoors.,2,1.1069380044937134,0.6613030433654785
A man standing a busy European town square with a tall placard sign printed with biblical phrases.,A local religious curate tries to convince passers by to come to his church.,1,0.916644811630249,0.1090925931930542
The gentleman is speaking while the others are listening.,The man is being given respect.,2,0.9563354849815369,1.0704368352890015
A man with a crop is trying to stay on a rearing horse.,The horse is rearing,2,0.9281928539276123,1.2649472951889038
A man in a red Vegas shirt sits a table playing with his camera.,The man is standing and taking pictures.,0,0.9031033515930176,0.7761698365211487
A man standing in front of a class of Asian students holding a picture of Santa Claus.,A human standing.,2,1.6183239221572876,0.2709256708621979
A young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures.,Young women are outdoors.,2,1.583457350730896,0.3739948868751526
older men talking and standing around.,The men are walking to their cars in silence.,0,0.7039334774017334,0.8981443643569946
A motorcycle rider is making a sharp turn.,The motorcyclist is turning.,2,1.1448458433151245,0.7767836451530457
The man in the brown shirt is holding the hand of the long-haired child in front of a painting.,A dad took his child to a museum to see a famous painting.,1,1.02768075466156,0.22771349549293518
"Five Women, wearing beautiful, colorful saris, in a circle, dancing with their hands raised and touching.",The women have their hands by their side.,0,1.2565191984176636,1.4935507774353027
A man in a blue shirt leans on a wall beside a road with a blue van and red car with water in the background.,The blue van belongs to the man.,1,0.89262455701828,0.46708136796951294
a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,2,0.8928209543228149,1.9726145267486572
A goalie braces himself for the ball that's coming his way.,A soccer player.,2,1.4836868047714233,0.3665514886379242
A boy toddler is holding a bat he is about to swing at a pinata.,A child is crying because he didn't get cake,0,0.7782796621322632,0.7562475204467773
A group of women and men are in the water wit their clothes on.,The group of people are swimming in the water.,1,1.3591228723526,2.0513999462127686
A golden retriever nurses puppies.,Puppies next to their mother,2,0.9517658948898315,1.551833152770996
A boy wearing a yellow jersey is accepting the baton from a female wearing a yellow jersey in a relay race.,A girl is handed a baton by a man in a race.,0,1.2898319959640503,1.6636013984680176
The kids watched as the soda bottle launched into the air.,There are people sleeping,0,1.0984504222869873,0.8622771501541138
People are camping in a group.,The people are on a family camping trip.,1,1.0532996654510498,0.8874269723892212
Two brown-haired men wearing short-sleeved shirts and shorts are climbing stairs.,The men are together.,2,1.1176295280456543,1.0048176050186157
A small child is giving heavy metal signs,Kid showing the heavy metal hand sign.,2,0.9096503257751465,1.339430809020996
Basketball referee watching a team player hang from the hoop.,A referee watching a game.,2,1.2519423961639404,0.5829750299453735
White dog high jumping over some pillows.,The dog is jumping over pillows.,2,0.992218017578125,1.082200288772583
"A young man in jeans and a red shirt, wearing yellow gloves, holds a tree branch.",A man swims across a pool,0,1.19908607006073,1.356872320175171
A person wearing orange stockings and chunky boots has her legs stretched out on the grass.,The stockings are white and purple.,0,0.9549735188484192,0.8669859170913696
A red-haired clown cries streams of tears in a white hat on stage.,A clown is riding in a small car outside.,0,1.441957950592041,1.9195456504821777
A group of men in fatigues eat at a fast food restaurant.,There is a group of men.,2,1.0656774044036865,0.9106178283691406
Three people are outside walking up a set of wooden stairs.,Three people are walking outside down a set of stairs.,0,1.3283379077911377,1.5294547080993652
"First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.",The former First Lady is at the podium for a conference.,2,0.8231949210166931,4.545190811157227
A redheaded woman walking across the street.,A woman is outside.,2,1.7949057817459106,0.15675660967826843
Three women are smiling and making cupcakes.,Three women go to the spa.,0,0.7782920598983765,1.1634193658828735
A woman walks next to a subway exit.,A woman is on here way home.,1,0.6198788285255432,1.4848179817199707
"Four men and three women, all in their beach attire, hang around a small cliff by the ocean as one man is about to dive into the water.",People in beach attire,2,0.5692593455314636,2.347407579421997
Guy hitting a baseball in a field of grass outside.,A man is a professional baseball player.,1,0.5629653930664062,1.0493475198745728
A bald man in a white t-shirt is standing at a bar next to a white leashed dog.,a man in a white shirt,2,1.2255256175994873,0.7076675295829773
A girl jumping high off of the sand.,The girl is jogging on the beach.,0,0.6725178956985474,0.6818562746047974
A man playing a large stringed instrument on the street.,The man is performing for money.,1,0.8789963126182556,0.21051077544689178
A woman wearing a blue hairnet and apron talks over her shoulder as she grasps a plastic pitcher.,She is working in a school cafeteria.,1,0.5770031213760376,0.971138596534729
A young man is using gloves to control a device with wires in it.,A gloved young man is controlling the remote for an RC car.,1,0.7906218767166138,0.4890528619289398
A standing crowd of people watches a musical performance on a lighted stage.,Some music is being performed on stage.,2,1.1171785593032837,0.8482977747917175
"A young woman with a black hat and red and black jacket, swings on a red-orange ball attached to a blue rope.",The photo is taking place in a gym.,1,0.5945968627929688,2.1195287704467773
A woman in a blue top and pencil skirt walks by a balding man in a pinstriped suit.,They are walking on top of trees.,0,1.144322156906128,1.2732996940612793
"Five children are on a slide, all dressed in different colored clothes.",Children playing in a park.,1,0.6576460003852844,0.6898598670959473
Workers standing on a lift.,Workers walk home from work,0,0.45209333300590515,0.4659368395805359
Two women in colorful swimming suits are leaping above a pool while two other women in the pool watch.,All four women are drinking lemonade.,0,0.727992057800293,0.5747510194778442
Woman reading a book with a grocery tote.,A woman is dancing.,0,1.4269055128097534,1.351933479309082
A man wearing a green shirt is grinning at the computer screen with his hand on the mouse.,the man is in a white suit,0,0.7403233051300049,0.6878367066383362
A group of men on a beach are chasing another man who is carrying a ball.,The men just met today.,1,0.6950296759605408,0.5581263303756714
Two people are biking past a house and field in the country.,Two people are riding a bike.,2,1.4647347927093506,0.36204424500465393
A young child is being held by another child looking straight at us.,The child is forty years old.,0,0.615398645401001,0.7138704061508179
A man is working in an art studio and is surrounded by art supplies.,a man is at an auto shop.,0,1.062685251235962,1.3739748001098633
A boy rollerskating in the street.,A boy is outside,2,1.796127438545227,0.1270928829908371
Workers at Basking Robbins are filling orders.,Workers filling orders at basking robbins,2,0.76953125,1.3382939100265503
A dog looks content sitting on a bed after ripping up some paper,a dog looks content sitting on a bed after ripping up some important papers.,1,1.0422418117523193,1.1425031423568726
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy watches boats on a lake.,0,0.9063953757286072,0.8054547309875488
a young girl in red lifting a girl in blue to the top of a wall and lighting.,The girl is lifting the other girl.,2,1.0085631608963013,1.4169687032699585
Beautiful red car among many at a car show full of excited car enthusiasts held on a tree lined street.,The cars and people are outdoors.,2,1.9352564811706543,0.04708215221762657
A man in an orange vest is on the sidewalk playing a guitar and singing while others are walking down the sidewalk.,A man is playing a guitar on the sidewalk and singing.,2,0.8107465505599976,1.9771006107330322
A game similar to baseball is being played as a ball closes in on the player who is ready to strike.,A bunch of people are playing a game.,2,1.513049840927124,0.35992518067359924
Instructor on Basket weaving at fair,A basket weaving instructor at the fair.,2,0.6528391242027283,1.554076910018921
Four people and a baby are crossing the street at a crosswalk.,People and a baby riding the bus.,0,0.6197417974472046,0.46904638409614563
Tan dog running through long grass in a park-like setting.,A dog runs after a squirrel.,1,0.7433649301528931,1.5097270011901855
A woman in a brown shirt and a man in a hat cross the street.,A man and woman are walking in the street.,2,1.602296233177185,0.2704637050628662
A person taking pictures of a young brunette girl.,A photographer is working.,1,1.4641952514648438,1.3731639385223389
"Two teams of children, one green the other red, play each other in a game of Rugby while it rains.",The children rugby team are playing again after a short rain delay.,1,0.9177324771881104,0.6412436962127686
Three boys are standing on the ledge outside of a building.,Three boys are standing.,2,1.2521125078201294,0.6085705161094666
"A man painting in front of a storefront, his paintings are displayed.",A man is painting in his living room.,0,0.6835771799087524,0.7224562764167786
A boy is being splashed in a swimming pool.,A boy is playing in his new swimming pool.,1,0.9340086579322815,1.249402403831482
A man wearing a red uniform and helmet stands on his motorbike.,a man sitting in a car.,0,0.367740273475647,0.2881794273853302
A basketball player in a red uniform is trying to make a basket but is being blocked by the opposing team.,A basketball player is playing basketball.,2,0.41687777638435364,1.8097431659698486
An adult ballerina shows you children how to dance.,The ballerina is the children's dance instructor.,1,0.8083571791648865,0.8873249292373657
A man in a white t-shirt and blue shorts is rock climbing up a sheer face,A man is climbing Mt Everest.,1,1.0310769081115723,0.6794028878211975
Security officer working outside.,A security officer is in an office building.,0,1.1126434803009033,1.7114441394805908
A little girl in a pink hat is in a lush green field walking an ox.,A little girl is riding her ox in a desert.,0,0.5788776278495789,0.5612330436706543
Two men working on farm equipment that is being pulled by two horses.,The men are working on farm stuff.,2,0.9486323595046997,1.2422621250152588
The blond boy is riding roller-coaster with his mouth wide open.,a little boy is riding a roller-coaster,1,0.9949078559875488,1.4548423290252686
A man wearing glasses and black clothing is sitting while a man in a vest drinks in the background.,A man is wearing glasses and light black clothing.,1,1.1156914234161377,1.2113741636276245
A brown kid wearing jeans and no shirt is weaving a straw rug.,The boy is using his hands to weave a rug.,2,1.0334460735321045,1.9239312410354614
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,1,1.330405592918396,1.8847466707229614
kids drawing something on paper,The kids are drawing pictures of animals.,1,0.9405900835990906,0.9082048535346985
A young girl is standing in a kitchen holding a green bib.,A girl just finished eating.,1,1.0718011856079102,0.874852180480957
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,2,1.2016229629516602,0.6862981915473938
A man wearing a yellow motorcycle jacket on a motorcycle in midair with a man watching in the background,A man rides a motorcycle.,2,0.9289748072624207,1.129124402999878
People waiting in line in a snowstorm.,People are waiting in a line during a scorching drought.,0,0.9318842887878418,1.5371763706207275
A woman finishing a marathon race.,The woman is in first place.,1,1.0663453340530396,1.5143165588378906
A man sits writing at a table set up on a sidewalk.,A woman stands on a street corner.,0,1.2790770530700684,1.4738857746124268
A woman leans over a small fence to take a picture of a yellow flower.,The flower is blue,0,0.8438976407051086,0.7948673963546753
A man is performing tricks with his superbike.,A bike is in the garage.,0,0.44100725650787354,0.38879725337028503
People standing with their bicycles.,People are sitting on their unicycles.,0,1.0436944961547852,1.1062474250793457
"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two female synchronized swimmers are in the pool.,0,0.3300859034061432,0.2688027620315552
A graying man with glasses is standing in back of a barber's chair in a seemingly empty barber shop.,A man is sitting in a barber's chair inside an empty barber shop.,0,1.1408337354660034,1.5563091039657593
An African person standing in a wheat field.,A person standing in a wheat field of his boss.,1,0.6806590557098389,1.3216731548309326
An ATV rides over a vast sandy landscape.,The rider is outdoors.,2,1.4183716773986816,0.5653365850448608
A white dog holds a tennis ball in its mouth in a field.,The dog is chasing after a rolling tennis ball.,0,0.7793979644775391,0.8948191404342651
A happy woman who is preparing for dinner.,A sad woman is watching TV.,0,0.9318338632583618,0.7670982480049133
Several men are sitting around a parking lot.,There is people outside.,2,1.9414094686508179,0.041156869381666183
A man painting a sign onto his food cart.,A man is selling food.,0,1.478533387184143,1.5491937398910522
"Scene from a life show with man singing in the center, there are two women one on each side of him.",A man is sitting in an audience.,0,1.159256935119629,1.3601163625717163
Two people work construction on the inside of a house.,Two people work inside.,2,0.670278787612915,1.4528300762176514
Rival female basketball teams are playing a game in front of an audience at an indoor arena.,Two female basketball teams are playing a game inside of a building.,2,1.047174096107483,1.0138084888458252
A woman in an red tracksuit squeezing lemons in a press.,A woman reading a book.,0,1.1544753313064575,1.008387565612793
a ballerina striking a pose in the studio.,The ballerina is indoors.,2,0.8499498963356018,1.0254247188568115
"A man sits in a dingy stall which says ""Sol Septu"" on the sidewalk while a man poses before the stand but does not look at it.","A still sits in a dingy man which says ""why"" on the sidewalk while a stall poses before the man but refuses to look in it's direction.",0,0.950210690498352,1.6402393579483032
One of the hockey players just tried to score,The game is very intense and even.,1,0.8762363195419312,1.0882056951522827
Two girls looking into camera and smiling,The weeping girls have their picture painted.,0,1.1723260879516602,1.6534767150878906
A man in a suit and tie and a woman with luggage join others in waiting in the London Underground.,A couple are in the Underground.,2,1.3853017091751099,0.4399070739746094
A little girl in a red and white shirt stands next to some caricatures of celebrities at an art fair.,a kid stands near modern art,1,1.3281724452972412,1.0314462184906006
The blond boy is riding roller-coaster with his mouth wide open.,a woman is riding a roller-coaster,0,0.9644725322723389,1.003455400466919
A young girl jumps high with the help of her bungie harness device and a safety spotter.,"A child jumps high, assisted by a spotter and a harness.",2,1.467308759689331,0.41807815432548523
A silhouette at the bottom of an escalator.,The group of people are running in a race.,0,0.9421226978302002,1.0597403049468994
A man is riding a bicycle in the street.,a man is suntanning on a cave,0,0.7249867916107178,0.933241069316864
Numerous customers browsing for produce in a market.,People are showering.,0,1.144834041595459,1.3759551048278809
A group of people dressed in formal wear pose for a picture.,Wedding party portrait with bride and groom.,1,1.1946136951446533,1.1107856035232544
A man and woman setup a camera.,Two people setup a device,2,1.2175925970077515,0.8075116276741028
People are walking into a store.,The store is having a grand opening.,1,0.7698160409927368,0.6241017580032349
A baby wearing a bib makes a funny face at the camera.,A baby girl in a bib makes a funny face at her mom's camera.,1,1.4562828540802002,1.4502215385437012
Firemen stand outside of their firetruck with all its lights on.,Policemen stand outside of their firetruck with all its lights on.,0,1.3923699855804443,1.899410605430603
Four people stand in front of trees.,One guy eating lunch in front of a building.,0,0.8755465745925903,0.963099479675293
A female covering her face in laughter at the dinner table.,A woman is at a dinner table.,2,1.5992766618728638,0.338589608669281
A brown dog in running on grass.,A dog is playing at the park,1,0.47524911165237427,1.444281816482544
Man sitting down in a asian custom and styled room.,A man sitting down indoors in a room.,2,1.0060434341430664,0.9351866841316223
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is taking photos while on tour in nyc,1,0.9224705696105957,1.2966777086257935
A man jumps off a cliff with a city view below.,Man jumps off cliff near city.,2,1.4051384925842285,0.5491163730621338
A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef speaks,2,0.8275405764579773,1.0146158933639526
A boy riding on a carnival ride turns around for a photograph.,A human riding,2,1.1029857397079468,0.717754065990448
Two girls wading through hip deep mud.,The two girls are in deep water.,0,1.1899969577789307,1.3172638416290283
A boy kneeling on a skateboard riding down the street,A boy on a skateboard riding down the street his house is on.,1,0.8912018537521362,0.444990873336792
Two women are wet while holding hands with a long building and buses in the background.,Women are in the city.,2,1.3495296239852905,0.5162490010261536
A girl in a pink tank top and her boyfriend sitting on stone steps.,A boy and girl are kissing.,1,1.1217741966247559,1.0692468881607056
Two people are sitting in a station.,A couple of people are inside and not standing.,2,1.1206318140029907,0.7160512208938599
"A speaking woman at a podium has the phrase ""Armenian Genocide"" written on it, flanked by priests and men in suits.",The woman is Armenian.,1,0.7322414517402649,1.2029329538345337
"A man with a blue shirt and a woman with a red shirt, the woman smiles.","Two people wearing shirts, one of them smiling.",2,1.022046446800232,0.8341746926307678
A woman in a blue tank-top rides a blue bicycle in front of a crowd of meandering pedestrians.,A man rides a bike in front of a crowd,0,1.212540626525879,1.5764424800872803
